Step,CartPole-v1__ppo__1__1776570508 - losses/explained_variance
53,-0.012174368
102,0.001492739
159,-0.00453496
204,0.013268471
257,0.00233525
296,-0.016783595
329,0.003732741
370,-0.014771223
395,0.000925124
426,0.005691111
453,0.019222915
480,-0.01559031
505,-0.007958889
526,0.003107369
551,0.006665647
576,-0.013939738
593,0.08661878
614,-0.012444258
631,0.059331656
644,0.024188042
661,0.04345113
678,0.059698284
693,0.070729434
710,0.06713748
727,0.033654034
748,0.10408628
765,0.045234323
778,0.03267151
793,0.104370594
808,0.11627245
825,0.138336
838,0.08305597
855,0.17283177
870,0.10025936
885,0.09458184
898,0.23577374
915,0.10379356
928,0.20291173
943,0.09335214
962,0.07125682
977,0.12387532
996,0.12359387
1011,0.12636423
1028,0.110835016
1041,0.08339596
1058,0.1752407
1073,0.15397805
1086,0.110452235
1101,0.13574213
1116,0.15819651
1127,0.0572775
1146,0.17047751
1157,0.16216904
1172,0.13302875
1189,0.20510948
1204,0.17939037
1217,0.20911431
1232,0.1277433
1247,0.23098737
1258,0.20689523
1273,0.2166081
1286,0.21245134
1297,0.23864645
1314,0.23143494
1325,0.19062495
1342,0.2534548
1357,0.2252006
1368,0.22464126
1383,0.17566395
1396,0.28495783
1411,0.28838062
1426,0.29975766
1437,0.12484324
1454,0.33012182
1467,0.26587826
1482,0.3681072
1497,0.23038012
1508,0.088837504
1519,0.25606424
1536,0.27181596
1551,0.29244184
1562,0.37078047
1575,0.29483515
1588,0.2528358
1603,0.16118032
1612,0.42394763
1627,0.18196315
1638,0.36430067
1651,0.14290065
1664,0.23213208
1673,0.01395613
1684,-0.003330827
1697,0.23129803
1710,0.30671126
1723,0.27775443
1738,0.33258295
1751,0.21966004
1764,0.36579728
1775,0.41301674
1790,0.31627542
1803,0.35029495
1814,0.4201882
1829,0.35070586
1844,0.21469402
1857,0.4898346
1872,0.38569272
1883,0.5137766
1894,0.47433883
1909,0.29454738
1922,0.17538464
1931,0.21190512
1948,0.38538384
1959,0.07074344
1970,0.5812043
1985,0.57970905
1998,0.5989927
2011,0.46090776
2022,0.049542844
2035,0.4744897
2046,0.5304698
2061,0.03840077
2074,0.041968882
2087,0.41660506
2098,0.58823454
2111,0.59828043
2122,0.31819344
2133,0.26228738
2144,0.48538214
2157,0.53161097
2168,0.28910005
2177,0.19060838
2190,0.015769124
